rate,distortion,round
0.007699733277467609,15.633551952017198,0
2.9838606353157124e-06,14.572511079851637,1
2.0174744793285035e-07,14.479471075464835,2
9.310048583917782e-09,14.459295381537594,3
3.690406498909245e-10,14.452107381257141,4
1.3755959334578923e-11,14.449387238437195,5
4.997483908179371e-13,14.448378684728043,6
1.7763568394002505e-14,14.448011760569072,7
7.401486830834377e-16,14.447879740974528,8
-4.440892098500626e-16,14.447832517624112,9
-1.4802973661668753e-16,14.447815675320726,10
1.4802973661668753e-16,14.447809676678402,11
-1.4802973661668753e-16,14.447807541314871,12
0.0,14.447806781253563,13
0.0,14.44780651068084,14
